Date,State,Cases_Total,Cases_White,Cases_Black,Cases_LatinX,Cases_Asian,Cases_AIAN,Cases_NHPI,Cases_Multiracial,Cases_Other,Cases_Unknown,Cases_Ethnicity_Hispanic,Cases_Ethnicity_NonHispanic,Cases_Ethnicity_Unknown,Deaths_Total,Deaths_White,Deaths_Black,Deaths_LatinX,Deaths_Asian,Deaths_AIAN,Deaths_NHPI,Deaths_Multiracial,Deaths_Other,Deaths_Unknown,Deaths_Ethnicity_Hispanic,Deaths_Ethnicity_NonHispanic,Deaths_Ethnicity_Unknown
20200628,AK,883,489,23,,60,101,25,32,17,136,57,654,172,14,9,0,,2,2,1,0,0,0,0,14,0
20200628,AL,35441,12412,13429,,150,,,,2073,7375,3646,22198,9599,919,440,413,,4,,,,14,48,25,782,112
20200628,AR,19818,9148,4476,,224,50,1378,,2698,1844,4817,15001,0,264,139,67,,2,,24,,19,,21,230,13
20200628,AS,,,,,,,,,,,,,,,,,,,,,,,0,,,
20200628,AZ,73908,11819,1681,18115,547,6132,,,1409,34205,18115,21588,34205,1588,691,46,339,17,283,,,33,179,339,1070,179
20200628,CA,211243,24242,6309,80875,9724,266,900,1019,19484,68424,80875,61944,68424,5905,1868,533,2348,831,18,22,34,57,194,2348,3363,194
20200628,CO,32307,11090,1747,12212,794,174,125,326,271,5556,12212,14527,5556,1676,1049,108,355,56,8,6,20,7,63,355,1254,63
20200628,CT,46303,16121,6053,8701,670,,,,254,14333,8701,16121,14333,4316,3151,642,373,45,,,,15,62,373,3151,62
20200628,DC,10248,2103,5117,,163,26,29,,2593,217,2953,6140,1155,550,60,404,73,8,,,,5,0,73,477,0
20200628,DE,11226,3353,2970,3177,167,,,,548,1011,3177,7038,1011,507,318,130,31,1,,,,6,21,31,455,21
20200628,FL,141075,31471,21819,42643,,,,,5240,39902,42643,51226,47206,3419,1653,707,854,,,,,106,99,854,2343,222
20200628,GA,77210,19644,21945,12565,1163,54,76,,1674,20089,12565,38050,26595,2778,1254,1312,135,44,3,5,,10,15,135,2613,30
20200628,GU,247,30,,,98,,97,,12,10,,,,5,,,,,,,,,5,,,5
20200628,HI,899,175,9,,278,,249,,16,172,,,,18,,,,,,,,,18,,,
20200628,IA,28486,17948,2564,,1994,284,284,,284,5128,7122,16809,4273,706,564,34,,23,5,12,,2,65,49,576,79
20200628,ID,5319,2675,79,,60,72,20,187,551,1672,1186,2128,2004,91,85,1,,2,1,,,1,0,6,84,1
20200628,IL,141723,29505,23774,46213,4119,214,366,,5361,32171,46213,63339,32171,6888,3061,1923,1417,325,9,6,,49,98,1417,5373,98
20200628,IN,44930,20045,5513,,692,,,,8065,10615,5181,14971,24778,2427,1565,355,,13,,,,313,181,46,1297,1084
20200628,KS,13538,8686,1223,,751,99,,,470,2309,5784,5510,2244,264,185,61,,9,2,,,3,4,32,223,9
20200628,KY,15232,7843,1521,,440,51,32,669,,4676,1808,8680,4744,558,421,83,,7,,,8,,39,20,479,59
20200628,LA,56236,,,,,,,,,56236,,,56236,3199,1412,1655,,23,3,2,,17,104,64,2752,383
20200628,MA,108667,32600,10214,20972,2282,,,,5542,37164,20972,50638,37164,8060,5980,668,564,217,,,,540,96,564,7405,96
20200628,MD,66777,13091,19122,18058,1300,,,,3307,11899,18058,36820,11899,3168,1351,1283,344,125,,,,36,29,344,2795,29
20200628,ME,3191,1881,761,,63,6,1,15,81,383,108,2478,605,104,92,2,,,,,,1,9,,87,17
20200628,MI,69946,27320,20331,,1557,270,,4763,3987,11718,5595,45464,18885,6157,3181,2446,,79,19,,98,119,215,123,5110,923
20200628,MN,35549,13856,7457,,2660,307,84,733,4580,5872,8006,21102,6441,1425,1048,115,,47,22,3,7,20,163,45,1160,220
20200628,MO,20575,8946,5769,,,,,510,1571,3779,2209,13122,5242,997,580,351,,,,,8,28,28,25,864,106
20200628,MP,30,,,,,,,,,30,,,,2,,,,,,,,,2,,,
20200628,MS,25892,6922,12973,1375,83,1012,,,1231,2296,1375,18839,5678,1039,428,523,16,0,61,,,7,4,16,956,67
20200628,MT,863,638,4,,2,112,,,14,93,62,698,103,22,13,,,,5,,,,4,,,
20200628,NC,62142,23307,10186,,928,442,161,,7172,19946,18971,22346,20825,1322,742,426,,19,15,4,,69,47,113,1129,80
20200628,ND,3495,,,,,,,,,3495,,,,79,,,,,,,,,79,,,
20200628,NE,18899,7066,883,,883,126,12,,1299,8630,6057,3785,9057,267,114,10,,9,1,0,,3,130,30,91,146
20200628,NH,5747,3512,296,499,146,,,,258,1036,499,4212,1036,367,275,7,10,3,,,,9,63,10,294,63
20200628,NJ,171182,35908,17223,30741,5140,,,,11901,70269,30741,70172,70269,13121,6952,2356,2613,716,,,,224,260,2613,10248,260
20200628,NM,11809,1373,227,3399,69,6000,,,,741,3399,7669,741,492,98,4,59,1,236,,,,94,59,339,94
20200628,NV,17160,3160,975,4387,885,72,,,764,6917,4387,5092,6917,500,228,58,78,70,3,,,12,51,78,359,51
20200628,NY,392539,,,,,,,,,392539,,,,26997,8244,6034,6378,1618,,,,1752,2971,6378,17648,2971
20200628,OH,50309,24486,13108,,1586,58,109,1824,3798,5340,3991,35187,11131,2807,2179,523,,30,1,1,35,16,22,59,2714,34
20200628,OK,12944,7465,958,,1086,910,,,511,2014,2563,8219,2162,385,291,28,,7,27,,,10,22,13,334,38
20200628,OR,8341,3120,332,,303,153,230,218,2270,1715,2680,3933,1728,202,143,6,,9,3,4,2,16,19,23,157,22
20200628,PA,84370,25100,10800,,1300,,,,596,46574,6900,17300,60200,6579,4566,1368,,146,,,,319,180,372,6027,180
20200628,PR,7189,,,,,,,,,7189,,,,153,,,,,,,,,153,,,
20200628,RI,16661,4430,1535,5710,,,,345,448,4193,5710,6758,4193,927,608,46,78,,,,0,12,183,78,666,183
20200628,SC,33320,11537,8716,,256,,,,2563,10245,3771,16163,13385,716,311,311,,6,,,,13,72,26,557,132
20200628,SD,6681,2273,968,1077,700,962,,,701,0,1077,5604,0,91,,,,,,,,,91,,,
20200628,TN,40172,17261,8549,,556,61,40,,6743,6962,10928,20187,9057,584,335,201,,11,0,1,,34,2,51,527,6
20200628,TX,148723,5606,2535,7750,602,,,,117,132113,7750,8860,132113,2393,269,85,171,13,,,,5,1850,171,372,1850
20200628,UT,21100,7275,584,9115,469,567,820,,2570,2479,9115,9506,2479,167,93,5,38,8,9,10,,12,7,38,122,7
20200628,VA,61736,12993,8748,21163,2059,72,,181,1648,14872,21163,25701,14872,1732,942,376,189,100,2,,0,22,101,189,1442,101
20200628,VI,81,,,,,,,,,81,,,,6,,,,,,,,,6,,,
20200628,VT,1202,981,113,,53,2,,0,22,31,41,1156,5,56,53,,,2,,,,1,0,0,56,0
20200628,WA,31752,8116,1311,10297,1354,421,707,447,535,8564,10297,12891,8564,1310,875,40,154,110,18,12,16,26,59,154,1097,59
20200628,WI,27743,15303,4866,,1059,266,,,3332,2917,8679,15881,3183,777,538,183,,23,10,,,11,12,90,672,15
20200628,WV,2832,2261,208,,,,,,363,0,,,,93,58,3,,,,,,,32,,,
20200628,WY,1121,594,12,152,6,309,4,,40,65,152,965,65,20,8,0,1,0,9,,,0,2,1,19,2