Region,Date,"Average Case/10,000","Average Death/10,000"
West,2020-01-21,0.0013132160885254724,0.0
West,2020-01-22,0.0013132160885254724,0.0
West,2020-01-23,0.0013132160885254724,0.0
West,2020-01-24,0.0013132160885254724,0.0
West,2020-01-25,0.0007831511648560776,0.0
West,2020-01-26,0.000909694285449419,0.0
West,2020-01-27,0.000909694285449419,0.0
West,2020-01-28,0.000909694285449419,0.0
West,2020-01-29,0.000909694285449419,0.0
West,2020-01-30,0.000909694285449419,0.0
West,2020-01-31,0.0010362374060427606,0.0
West,2020-02-01,0.0010362374060427606,0.0
West,2020-02-02,0.001415866767822785,0.0
West,2020-02-03,0.001415866767822785,0.0
West,2020-02-04,0.001415866767822785,0.0
West,2020-02-05,0.001415866767822785,0.0
West,2020-02-06,0.001415866767822785,0.0
West,2020-02-07,0.001415866767822785,0.0
West,2020-02-08,0.001415866767822785,0.0
West,2020-02-09,0.001415866767822785,0.0
West,2020-02-10,0.0015424098884161265,0.0
West,2020-02-11,0.0015424098884161265,0.0
West,2020-02-12,0.0015424098884161265,0.0
West,2020-02-13,0.0015424098884161265,0.0
West,2020-02-14,0.0015424098884161265,0.0
West,2020-02-15,0.0015424098884161265,0.0
West,2020-02-16,0.0015424098884161265,0.0
West,2020-02-17,0.0015424098884161265,0.0
West,2020-02-18,0.0015424098884161265,0.0
West,2020-02-19,0.0015424098884161265,0.0
West,2020-02-20,0.0016689530090094678,0.0
West,2020-02-21,0.0017954961296028093,0.0
West,2020-02-22,0.0017954961296028093,0.0
West,2020-02-23,0.0017954961296028093,0.0
West,2020-02-24,0.004675014547840437,0.0
West,2020-02-25,0.004156407183077139,0.0
West,2020-02-26,0.005421838389010555,0.0
West,2020-02-27,0.005421838389010555,0.0
West,2020-02-28,0.005378993315540594,0.0
West,2020-02-29,0.006427176942231368,0.0003283040221313681
West,2020-03-01,0.00963439781785757,0.0009849120663941043
West,2020-03-02,0.011920579752129132,0.0019698241327882086
West,2020-03-03,0.01531821687338814,0.003283040221313681
West,2020-03-04,0.02087549280832537,0.00367461580374172
West,2020-03-05,0.022212536428979118,0.0024497438691611466
West,2020-03-06,0.027986856813233256,0.0026686132172487253
West,2020-03-07,0.03562178738235503,0.0035440906095990403
West,2020-03-08,0.046761202214864676,0.0042006986538617765
West,2020-03-09,0.05876676130384061,0.004899487738322293
West,2020-03-10,0.08331106222794994,0.005379407474695231
West,2020-03-11,0.09386434558127611,0.005585087361712204
West,2020-03-12,0.12072239340449857,0.00639596456746193
West,2020-03-13,0.1244126131517041,0.005925267870079914
West,2020-03-14,0.15889123873883906,0.00662644430813208
West,2020-03-15,0.1829829244840312,0.006946390799047373
West,2020-03-16,0.23629167900646286,0.008323203748627871
West,2020-03-17,0.28599440054269687,0.009739424538214275
West,2020-03-18,0.3400476102631189,0.01213000494263758
West,2020-03-19,0.41779141032045847,0.013593523770570357
West,2020-03-20,0.5208041784160967,0.015262162517600961
West,2020-03-21,0.6223296155392432,0.017581981393002866
West,2020-03-22,0.7236582915837663,0.0188736103008332
West,2020-03-23,0.8752714172062717,0.022183255662818684
West,2020-03-24,1.0523313589465153,0.02615041334169484
West,2020-03-25,1.2504373661615718,0.031135087171292358
West,2020-03-26,1.5927013600473399,0.03786039274910516
West,2020-03-27,1.9348657093026662,0.04601255610323701
West,2020-03-28,2.2655020915336825,0.05339789367284393
West,2020-03-29,2.593704393345607,0.05757502173095452
West,2020-03-30,2.913760434620956,0.06682580319291588
West,2020-03-31,3.246440655756763,0.07811123958531235
West,2020-04-01,3.6531089621876958,0.08764389205620685
West,2020-04-02,4.212198782929964,0.09761656532203535
West,2020-04-03,4.627246596253798,0.10705502063649357
West,2020-04-04,5.080481801209748,0.11846502180343142
West,2020-04-05,5.4456591825228235,0.1260107843786743
West,2020-04-06,5.734697757362332,0.1430688484960793
West,2020-04-07,5.986946098653286,0.15719202884369177
West,2020-04-08,6.314029624953282,0.175442425329612
West,2020-04-09,6.885718726563273,0.19258110522211028
West,2020-04-10,7.209563468423691,0.20733557734945846
West,2020-04-11,7.524841829759248,0.22604336852689202
West,2020-04-12,7.8243202713805555,0.23324954584388774
West,2020-04-13,8.098027153650701,0.24745733160984237
West,2020-04-14,8.307047391239506,0.26731486913919145
West,2020-04-15,8.576058671756503,0.2850839094735776
West,2020-04-16,8.869360153100502,0.29723368725555804
West,2020-04-17,9.201124852084376,0.3133629413236234
West,2020-04-18,9.500380587680171,0.3280576719039654
West,2020-04-19,9.701193153066358,0.33530789635838026
West,2020-04-20,10.048066950090323,0.351699103744168
West,2020-04-21,10.326955721664481,0.3761915237077752
West,2020-04-22,10.640343292767236,0.4025523747324688
West,2020-04-23,10.982717755610736,0.42152608065137265
West,2020-04-24,11.456526249413105,0.45281641929235483
West,2020-04-25,11.830359585706812,0.4595165892983698
West,2020-04-26,12.14698262537222,0.4648315660909012
West,2020-04-27,12.414872147816292,0.48064242021690107
West,2020-04-28,12.704630997534503,0.49934197025378757
West,2020-04-29,13.052174118669353,0.5150877080363616
West,2020-04-30,13.414646031489449,0.5272932939615963
West,2020-05-01,13.769446859472824,0.5433736111187935
West,2020-05-02,14.095805396316145,0.5521894191079694
West,2020-05-03,14.414748336556023,0.5579091377937186
West,2020-05-04,14.697061290182921,0.5637075187151992
West,2020-05-05,14.98907288533799,0.5867078829704068
West,2020-05-06,15.400320971649082,0.6011900824253079
West,2020-05-07,15.720446755351773,0.6159707909381892
West,2020-05-08,16.06542895234465,0.6269877545855728
West,2020-05-09,16.41377599687864,0.6364302438332825
West,2020-05-10,16.648167521946483,0.6406318413127826
West,2020-05-11,16.883058008512617,0.652517256193404
West,2020-05-12,17.161412892766762,0.6664290222681412
West,2020-05-13,17.481915529905674,0.6862349165873346
West,2020-05-14,17.805445408631755,0.7001175039121112
West,2020-05-15,18.15676141848528,0.7214168816212303
West,2020-05-16,18.480242909863403,0.7340748903545155
West,2020-05-17,18.738468675120878,0.7426445529683074
West,2020-05-18,19.027703587397944,0.7556396309737414
West,2020-05-19,19.306738954110063,0.7764402576603561
West,2020-05-20,19.624840477053713,0.7930391121570806
West,2020-05-21,19.933530987069357,0.8035265882992201
West,2020-05-22,20.254078554839513,0.8133865032290761
West,2020-05-23,20.634784470742822,0.8194946291496311
West,2020-05-24,20.878615671853577,0.8230842944934437
West,2020-05-25,21.148352065326687,0.8258728419609478
West,2020-05-26,21.43852021472083,0.838404278857338
West,2020-05-27,21.701767712944253,0.8574642384284775
West,2020-05-28,22.058634758116824,0.8727390707021869
West,2020-05-29,22.508280467301333,0.8812354240437936
West,2020-05-30,22.929579711180523,0.890138052346156
West,2020-05-31,23.277227637006273,0.8923793600322001
West,2020-06-01,23.61453411763544,0.9003401863222672
West,2020-06-02,23.9365985606253,0.9071458847626235
West,2020-06-03,24.281544588590037,0.9187834886991116
West,2020-06-04,24.690932848859973,0.9247295205369218
West,2020-06-05,25.24677452112938,0.9354912780141892
West,2020-06-06,25.69974883438376,0.9398792046515508
West,2020-06-07,26.058226200066574,0.9412626332068921
West,2020-06-08,26.47456299942915,0.9482930921074957
West,2020-06-09,26.86260316840755,0.9595016017682887
West,2020-06-10,27.242156752663654,0.9700049661073253
West,2020-06-11,27.751053874467626,0.9823041964869438
West,2020-06-12,28.25256451667802,0.9921043115297347
West,2020-06-13,28.793086294487196,0.9966733387978907
West,2020-06-14,29.147129969926343,1.0005790854233727
West,2020-06-15,29.64723531675781,1.0068295019002629
West,2020-06-16,30.208645673320568,1.0146365250021712
West,2020-06-17,30.772137808183253,1.0237396936579697
West,2020-06-18,31.47536038252645,1.0331446885586244
West,2020-06-19,32.217612940317,1.0443020570215655
West,2020-06-20,32.94236166729332,1.051026533480563
West,2020-06-21,33.50386682237492,1.0540102658244808
West,2020-06-22,34.35418970249556,1.0595435086734384
West,2020-06-23,35.13810051497331,1.0680035434923079
West,2020-06-24,35.984422486871324,1.074395159170595
West,2020-06-25,36.966990623706636,1.0798693934724384
West,2020-06-26,38.04078545341003,1.0871004501105173
West,2020-06-27,39.04519514442304,1.0907022849299417
West,2020-06-28,39.990804369434635,1.0914506444220873
West,2020-06-29,41.14745462676987,1.0981890545990922
West,2020-06-30,42.28938916168404,1.1079279471955168
West,2020-07-01,43.393841072356125,1.1151038765865593
West,2020-07-02,44.67494425374123,1.1255992931193268
West,2020-07-03,46.0022755890376,1.1345089173582177
West,2020-07-04,47.28540468348555,1.1358437577559846
West,2020-07-05,48.41561842835357,1.1417898809191513
West,2020-07-06,49.586758661742294,1.1478554326746762
West,2020-07-07,50.98139943618515,1.1633457768499402
West,2020-07-08,52.260303886728934,1.1769884411277896
West,2020-07-09,53.77003825355908,1.1956084033977135
West,2020-07-10,55.352830590525414,1.2112084281904356
West,2020-07-11,56.85751402510383,1.2209008429739985
West,2020-07-12,58.17537552411248,1.2256157005291266
West,2020-07-13,59.91765003469558,1.2327227241973293
West,2020-07-14,61.54060568636776,1.258666922050104
West,2020-07-15,63.13534770021283,1.2769450941823708
West,2020-07-16,65.16510772001509,1.29221148442997
West,2020-07-17,67.0900065981101,1.3093237771230324
West,2020-07-18,68.85271723472412,1.319851220081124
West,2020-07-19,70.45902255833364,1.321805573107882
West,2020-07-20,72.06040502361012,1.3330672429613974
West,2020-07-21,73.66127588733046,1.3592928117784258
West,2020-07-22,75.39416505860484,1.3852790080109616
West,2020-07-23,77.17059540096407,1.4048057857032323
West,2020-07-24,79.12872791741391,1.4311809836774059
West,2020-07-25,80.82913010284672,1.4408166738311325
West,2020-07-26,82.05697323778689,1.4437250221750215
West,2020-07-27,83.62118651500694,1.4598318578161142
West,2020-07-28,85.27769143759635,1.4958520838665355
West,2020-07-29,86.98076646771202,1.524838409832352
West,2020-07-30,88.64093606046626,1.5450327305227047
West,2020-07-31,90.27988968453462,1.580299307512946
West,2020-08-01,91.75955719894549,1.5948227757468532
West,2020-08-02,93.04029038586208,1.5975967154325112
West,2020-08-03,94.33444867772614,1.6171195738078938
West,2020-08-04,95.7772920816974,1.6426779806061362
West,2020-08-05,97.12169159966808,1.6653464080476763
West,2020-08-06,98.71272677169803,1.682312601338372
West,2020-08-07,100.3351891299116,1.7128081323492668
West,2020-08-08,101.66453585182275,1.736069659342184
West,2020-08-09,102.78155810826287,1.746167739967067
West,2020-08-10,104.10198598466985,1.7574212519090775
West,2020-08-11,105.4423755237675,1.7860050632695614
West,2020-08-12,106.73704657334659,1.8057822586199617
Southwest,2020-01-26,0.001373868499077516,0.0
Southwest,2020-01-27,0.001373868499077516,0.0
Southwest,2020-01-28,0.001373868499077516,0.0
Southwest,2020-01-29,0.001373868499077516,0.0
Southwest,2020-01-30,0.001373868499077516,0.0
Southwest,2020-01-31,0.001373868499077516,0.0
Southwest,2020-02-01,0.001373868499077516,0.0
Southwest,2020-02-02,0.001373868499077516,0.0
Southwest,2020-02-03,0.001373868499077516,0.0
Southwest,2020-02-04,0.001373868499077516,0.0
Southwest,2020-02-05,0.001373868499077516,0.0
Southwest,2020-02-06,0.001373868499077516,0.0
Southwest,2020-02-07,0.001373868499077516,0.0
Southwest,2020-02-08,0.001373868499077516,0.0
Southwest,2020-02-09,0.001373868499077516,0.0
Southwest,2020-02-10,0.001373868499077516,0.0
Southwest,2020-02-11,0.001373868499077516,0.0
Southwest,2020-02-12,0.0008593725348248647,0.0
Southwest,2020-02-13,0.0010318108201109713,0.0
Southwest,2020-02-14,0.0010318108201109713,0.0
Southwest,2020-02-15,0.0010318108201109713,0.0
Southwest,2020-02-16,0.0010318108201109713,0.0
Southwest,2020-02-17,0.0010318108201109713,0.0
Southwest,2020-02-18,0.0010318108201109713,0.0
Southwest,2020-02-19,0.0010318108201109713,0.0
Southwest,2020-02-20,0.0010318108201109713,0.0
Southwest,2020-02-21,0.0013766873906831847,0.0
Southwest,2020-02-22,0.0013766873906831847,0.0
Southwest,2020-02-23,0.0013766873906831847,0.0
Southwest,2020-02-24,0.002411317102399825,0.0
Southwest,2020-02-25,0.002411317102399825,0.0
Southwest,2020-02-26,0.002411317102399825,0.0
Southwest,2020-02-27,0.002411317102399825,0.0
Southwest,2020-02-28,0.0025837553876859316,0.0
Southwest,2020-02-29,0.0025837553876859316,0.0
Southwest,2020-03-01,0.0025837553876859316,0.0
Southwest,2020-03-02,0.0025837553876859316,0.0
Southwest,2020-03-03,0.0032706896372246895,0.0
Southwest,2020-03-04,0.003443127922510796,0.0
Southwest,2020-03-05,0.004132881063655223,0.0
Southwest,2020-03-06,0.004400481968348189,0.0
Southwest,2020-03-07,0.005316394301066533,0.0
Southwest,2020-03-08,0.0057762297284961505,0.0
Southwest,2020-03-09,0.006349144751712727,0.0
Southwest,2020-03-10,0.007996251938694547,0.0
Southwest,2020-03-11,0.011969134725749238,0.0
Southwest,2020-03-12,0.015043440922960708,0.0
Southwest,2020-03-13,0.02191006885176169,0.0
Southwest,2020-03-14,0.02809750677097897,0.0
Southwest,2020-03-15,0.036685676143895986,0.0
Southwest,2020-03-16,0.04503924466184832,8.621914264305334e-05
Southwest,2020-03-17,0.054803266811552065,8.621914264305334e-05
Southwest,2020-03-18,0.0756352953175428,0.0001724382852861067
Southwest,2020-03-19,0.1070540219571509,0.0009766729623072047
Southwest,2020-03-20,0.1395492016945311,0.0014063592297196368
Southwest,2020-03-21,0.18432742286163084,0.0014063592297196368
Southwest,2020-03-22,0.22747283480704936,0.002554061031510114
Southwest,2020-03-23,0.29327330259749407,0.002554061031510114
Southwest,2020-03-24,0.3720581582471755,0.004904602492894834
Southwest,2020-03-25,0.4740157095415532,0.007532910089684445
Southwest,2020-03-26,0.6262663303012694,0.010173190263837612
Southwest,2020-03-27,0.8295068231141649,0.01355413309953047
Southwest,2020-03-28,0.9593531766509711,0.019600080082924198
Southwest,2020-03-29,1.1077231215081693,0.02169337356218259
Southwest,2020-03-30,1.3058907863863463,0.02634506782859697
Southwest,2020-03-31,1.4883384758064935,0.03365040177519154
Southwest,2020-04-01,1.7519136985474801,0.04167234181036132
Southwest,2020-04-02,2.0123410631319727,0.04874589379359688
Southwest,2020-04-03,2.3203599669978776,0.058462656260828645
Southwest,2020-04-04,2.6404254647747547,0.06854542156175407
Southwest,2020-04-05,2.927306383845723,0.07707765174090736
Southwest,2020-04-06,3.2053396558937672,0.08325007535468068
Southwest,2020-04-07,3.5337363108626447,0.09953770996574281
Southwest,2020-04-08,3.7831473382210135,0.11327844219254637
Southwest,2020-04-09,4.259542686205931,0.12103895094246005
Southwest,2020-04-10,4.561613316837189,0.13303621412606617
Southwest,2020-04-11,4.884094694044268,0.1439189857666042
Southwest,2020-04-12,5.132308232729201,0.1566684100146474
Southwest,2020-04-13,5.431370680070938,0.1683697336267096
Southwest,2020-04-14,5.684023811231287,0.18825194211782392
Southwest,2020-04-15,5.948555861843327,0.20346180425386856
Southwest,2020-04-16,6.306967163524066,0.22433429056693122
Southwest,2020-04-17,6.708608851688899,0.24624071667398792
Southwest,2020-04-18,7.020120998754969,0.255166626487365
Southwest,2020-04-19,7.210924826452958,0.2619667520908415
Southwest,2020-04-20,7.5099094092895555,0.27019375507731624
Southwest,2020-04-21,7.8536001290789095,0.3018640468815606
Southwest,2020-04-22,8.215241434947814,0.3217145955883504
Southwest,2020-04-23,8.681709269703932,0.34617787910138353
Southwest,2020-04-24,9.095852191708888,0.36486510359109603
Southwest,2020-04-25,9.459991219885708,0.38498074884498634
Southwest,2020-04-26,9.722728853923071,0.39466020665146395
Southwest,2020-04-27,9.985706166978211,0.40386822235589176
Southwest,2020-04-28,10.404393874147248,0.42757173449990943
Southwest,2020-04-29,10.898918297696358,0.44143332809102065
Southwest,2020-04-30,11.486094067574596,0.4682077419479406
Southwest,2020-05-01,11.907186792693826,0.48839047511985884
Southwest,2020-05-02,12.465509249462734,0.5127796234858498
Southwest,2020-05-03,12.852107947135856,0.5314714330848223
Southwest,2020-05-04,13.280027374304414,0.5395020751484232
Southwest,2020-05-05,13.691942825803784,0.567211301807994
Southwest,2020-05-06,14.158770961491319,0.5925820710017808
Southwest,2020-05-07,14.669855686403046,0.6114974797444261
Southwest,2020-05-08,15.253323337164101,0.6527384673403375
Southwest,2020-05-09,15.647390209846648,0.6746683419105157
Southwest,2020-05-10,15.96832117180954,0.6901055513687981
Southwest,2020-05-11,16.400732574204437,0.705296075976515
Southwest,2020-05-12,16.88531242235041,0.730566658411789
Southwest,2020-05-13,17.42119836916583,0.7589688138759614
Southwest,2020-05-14,17.94360622292868,0.7905758240526171
Southwest,2020-05-15,18.538283571547062,0.8173899168977885
Southwest,2020-05-16,19.088724422411943,0.8386426190140287
Southwest,2020-05-17,19.431386478461697,0.8483814430157186
Southwest,2020-05-18,19.838162469372268,0.8569209432603608
Southwest,2020-05-19,20.25752260141487,0.877755212158472
Southwest,2020-05-20,20.683586312517928,0.9073055435989009
Southwest,2020-05-21,21.17285341231815,0.9322651496400477
Southwest,2020-05-22,21.642692543240678,0.9493723011043282
Southwest,2020-05-23,22.15717586272911,0.9693656162573678
Southwest,2020-05-24,22.5366230477909,0.9813879827035125
Southwest,2020-05-25,22.783253332841383,0.9885478652476284
Southwest,2020-05-26,23.106569555349644,0.9993912032535293
Southwest,2020-05-27,23.60676103910304,1.018896786488649
Southwest,2020-05-28,24.086142521446227,1.0392321593206548
Southwest,2020-05-29,24.63205485552038,1.0638030335930666
Southwest,2020-05-30,25.22419374631614,1.0841631529157596
Southwest,2020-05-31,25.727244722169686,1.0917584709287367
Southwest,2020-06-01,26.061590718265386,1.104068365305887
Southwest,2020-06-02,26.953454964658604,1.1249655163017571
Southwest,2020-06-03,27.6411280686981,1.1524374571501341
Southwest,2020-06-04,28.31014781409427,1.1720379165220491
Southwest,2020-06-05,29.45632053834017,1.185348429016234
Southwest,2020-06-06,30.189841167296784,1.2045155818931708
Southwest,2020-06-07,30.972608470661974,1.211120733502437
Southwest,2020-06-08,31.55910697062159,1.218125899540079
Southwest,2020-06-09,32.09599654789045,1.236196838635106
Southwest,2020-06-10,33.10210827526367,1.2561308101100728
Southwest,2020-06-11,34.03787692383761,1.2830551561537122
Southwest,2020-06-12,35.12525747633405,1.3015367842269132
Southwest,2020-06-13,36.112397925998565,1.3209018414079035
Southwest,2020-06-14,36.8617287898184,1.3275621308749734
Southwest,2020-06-15,37.674330677891014,1.338941225043625
Southwest,2020-06-16,39.07704340557478,1.3614201038643439
Southwest,2020-06-17,40.33778316079083,1.37987769788172
Southwest,2020-06-18,41.88789077986395,1.4012080735646881
Southwest,2020-06-19,43.73160047397217,1.4260722249695543
Southwest,2020-06-20,45.63968630451591,1.4392271971041657
Southwest,2020-06-21,47.23415259256153,1.445242196738097
Southwest,2020-06-22,48.65771542619748,1.4481680098047494
Southwest,2020-06-23,50.70056208933568,1.4757353234815276
Southwest,2020-06-24,52.375024517015746,1.5088015381560642
Southwest,2020-06-25,54.425781978481254,1.528775744601628
Southwest,2020-06-26,56.59406530244635,1.552769047585911
Southwest,2020-06-27,58.75066384367752,1.5777926180091255
Southwest,2020-06-28,60.84071348850661,1.5849439549773265
Southwest,2020-06-29,61.91902008231674,1.5894069211425847
Southwest,2020-06-30,64.8181419227103,1.6160659703197884
Southwest,2020-07-01,67.52909065361092,1.6518311189288286
Southwest,2020-07-02,69.87894689023445,1.6767310541304086
Southwest,2020-07-03,72.69896736737087,1.704581771725803
Southwest,2020-07-04,74.83033806081943,1.7166823084302811
Southwest,2020-07-05,76.82676621944015,1.7211544282812974
Southwest,2020-07-06,79.36784792137219,1.7303743276619905
Southwest,2020-07-07,82.26070531783796,1.7807523181723817
Southwest,2020-07-08,85.10936915024507,1.8161846825371533
Southwest,2020-07-09,88.10884130829984,1.859444650663085
Southwest,2020-07-10,91.12644002311461,1.8941207370442483
Southwest,2020-07-11,93.59144591081598,1.9310130622085822
Southwest,2020-07-12,95.60121900712367,1.965299014468426
Southwest,2020-07-13,97.50007059071838,1.9796942577655443
Southwest,2020-07-14,100.77928117128215,2.028779584670054
Southwest,2020-07-15,103.99746087082539,2.0853075081195724
Southwest,2020-07-16,107.18486598783673,2.1303193130624205
Southwest,2020-07-17,110.16586870737046,2.1820760014259224
Southwest,2020-07-18,112.78487351113513,2.2445036036964754
Southwest,2020-07-19,114.6786265673013,2.264168873820697
Southwest,2020-07-20,116.30970410828878,2.2933700493931073
Southwest,2020-07-21,119.26065502634222,2.3669342822259365
Southwest,2020-07-22,121.85556792954876,2.4161480440957557
Southwest,2020-07-23,124.31382692006504,2.471814399652608
Southwest,2020-07-24,127.21721187882716,2.5267344322475704
Southwest,2020-07-25,130.1433815547405,2.5976709205591737
Southwest,2020-07-26,132.25814224008346,2.6221908189272316
Southwest,2020-07-27,134.78945582399146,2.733560084506
Southwest,2020-07-28,137.53286429211974,2.80595727689987
